name,category,carrier_element,carrier_block,include_study04,e2,e3,e5,e7,error_flags,warning_flags
Pr2-xCexCuO4 (PCCO),SC_Oxide,Cu,d,1,0.84,0.07,0.47,0.02,,
PrFeAsO0.9F0.1,SC_IronBased,Fe,d,1,0.64,0.27,0.18,0.27,,
PrH10,SC_HighPressure,Pr,f,1,1.25,0.15,0.2,0.1,,
PrH9,SC_HighPressure,Pr,f,1,1.25,0.15,0.2,0.1,,
PuCoGa5,SC_HeavyFermion,Ga,p,0,0.0,0.0,0.0,0.0,,
PuRhGa5,SC_HeavyFermion,Rh,d,0,0.0,0.0,0.0,0.0,,
Rb3C60,SC_Molecular,C,p,0,,,,,,
RbC8,SC_Binary,Rb,s,1,1.18,0.06,0.0,0.12,,
Re,SC_TypeII,Re,d,1,0.27,0.16,0.51,0.06,,
Rh,SC_TypeII,Rh,d,1,0.29,0.16,0.49,0.06,,
Ru,SC_TypeII,Ru,d,1,0.29,0.16,0.49,0.06,,
RuO2,SC_Binary,Ru,d,1,1.18,0.06,0.0,0.12,,
ScH12,SC_HighPressure,Sc,d,1,1.25,0.15,0.2,0.1,,
ScH3,SC_HighPressure,Sc,d,1,1.25,0.15,0.2,0.1,,
ScH6,SC_HighPressure,Sc,d,1,1.25,0.15,0.2,0.1,,
ScZrH12,SC_HighPressure,Zr,d,1,1.25,0.15,0.2,0.1,,
SeH2,SC_HighPressure,Se,p,1,1.25,0.15,0.2,0.1,,
SH3 (Cmca),SC_HighPressure,S,p,1,1.25,0.15,0.2,0.1,,
Si2H6,SC_HighPressure,Si,p,1,1.25,0.15,0.2,0.1,,
SmFeAsO0.9F0.1,SC_IronBased,Fe,d,1,0.64,0.27,0.18,0.27,,
SmH9,SC_HighPressure,Sm,f,1,1.25,0.15,0.2,0.1,,
Sn,SC_TypeI,Sn,p,1,0.7,0.12,0.12,0.06,,
SnMo6S8,SC_Binary,Mo,d,1,1.18,0.06,0.0,0.12,,
Sr2RuO4,SC_Oxide,Ru,d,1,0.32,0.16,0.46,0.06,,
SrAlSi,SC_Binary,Sr,s,1,1.18,0.06,0.0,0.12,,
SrC6,SC_Binary,Sr,s,1,1.18,0.06,0.0,0.12,,
SrH10,SC_HighPressure,Sr,s,1,1.25,0.15,0.2,0.1,,
SrH22,SC_HighPressure,Sr,s,1,1.25,0.15,0.2,0.1,,
SrH6,SC_HighPressure,Sr,s,1,1.25,0.15,0.2,0.1,,
SrTiO3-doped,SC_Oxide,Sr,s,1,0.68,0.14,0.12,0.06,,
Ta,SC_TypeII,Ta,d,1,0.27,0.15,0.51,0.07,,
TaC,SC_Binary,Ta,d,1,0.28,0.15,0.5,0.07,,
TaH6,SC_HighPressure,Ta,d,1,1.25,0.15,0.2,0.1,,
TbH9,SC_HighPressure,Tb,f,1,1.25,0.15,0.2,0.1,,
Tc,SC_TypeII,Tc,d,1,0.28,0.15,0.5,0.07,,
Th,SC_TypeI,Th,f,1,0.2,0.14,0.32,0.34,,WARN_ambiguous_dominant_prime
Th4H15,SC_HighPressure,Th,f,1,1.25,0.15,0.2,0.1,,
ThH10,SC_HighPressure,Th,f,1,1.25,0.15,0.2,0.1,,
ThH9,SC_HighPressure,Th,f,1,1.25,0.15,0.2,0.1,,
Ti,SC_TypeI,Ti,d,1,1.0,0.0,0.0,0.0,,WARN_outlier_global_e3;WARN_outlier_global_e7
TiN,SC_Binary,Ti,d,1,0.28,0.15,0.5,0.07,,
Tl,SC_TypeI,Tl,p,1,0.69,0.13,0.12,0.06,,
Tl2Ba2Ca2Cu3O10 (Tl-2223),SC_Oxide,Cu,d,1,0.8,0.09,0.49,0.02,,
U (alpha),SC_TypeII,U,f,1,0.18,0.13,0.33,0.36,,WARN_ambiguous_dominant_prime;WARN_outlier_global_e2;WARN_outlier_global_e7
UH7,SC_HighPressure,U,f,1,1.25,0.15,0.2,0.1,,
UPt3,SC_HeavyFermion,Pt,d,0,0.0,0.0,0.0,0.0,,
URu2Si2,SC_HeavyFermion,U,f,0,0.0,0.0,0.0,0.0,,
V,SC_TypeII,V,d,1,0.3,0.16,0.48,0.06,,
V3Ga,SC_Binary,V,d,1,1.18,0.06,0.0,0.12,,
V3Si,SC_Binary,V,d,1,1.18,0.06,0.0,0.12,,
V3Si,SC_Binary,V,d,1,1.18,0.06,0.0,0.12,,
YbC6,SC_Binary,Yb,f,1,1.18,0.06,0.0,0.12,,
YC2,SC_Binary,Y,d,1,1.18,0.06,0.0,0.12,,
YCaH18,SC_HighPressure,Y,d,1,1.25,0.15,0.2,0.1,,
YH10,SC_HighPressure,Y,d,1,1.25,0.15,0.2,0.1,,
YH4,SC_HighPressure,Y,d,1,1.25,0.15,0.2,0.1,,
YH6,SC_HighPressure,Y,d,1,1.25,0.15,0.2,0.1,,
YH9,SC_HighPressure,Y,d,1,1.25,0.15,0.2,0.1,,
YHfH12,SC_HighPressure,Hf,d,1,1.25,0.15,0.2,0.1,,
Zn,SC_TypeI,Zn,d,1,0.35,0.13,0.47,0.05,,
Zr,SC_TypeII,Zr,d,1,0.27,0.16,0.5,0.07,,
ZrB12,SC_Binary,Zr,d,1,1.18,0.06,0.0,0.12,,
ZrH10,SC_HighPressure,Zr,d,1,1.25,0.15,0.2,0.1,,
ZrN,SC_Binary,Zr,d,1,0.27,0.16,0.49,0.08,,
