carrier_element,block,topology_id,C_e,C_N,C_xi,C_total,A_T,N_obs,N_sim,xi_obs,xi_sim,q_lock
Sn,p,TRI_RING,98.47328244274806,0.0,0.0,98.47328244274806,0.15267175572519084,,,,0.10260978894941455,0.8684755276264636
Sn,p,TETRA_PACK,20.879120879120876,0.0,0.0,20.879120879120876,1.3186813186813187,,,,0.12891468342412182,0.8684755276264636
Sn,p,PENTA_FLOWER,64.49275362318839,0.0,0.0,64.49275362318839,1.0144927536231882,,,,0.15521957789882912,0.8684755276264636
Sn,p,HEPTA_FLOWER,71.42857142857144,0.0,0.0,71.42857142857144,0.9523809523809522,,,,0.18152447237353636,0.8684755276264636
Sr,s,BIN_DIPOLE,0.4669451953797001,0.0,0.0,0.4669451953797001,1.1059228311624476,,,,0.07955599418453581,0.852220029077321
Sr,s,TRI_RING,98.47328244274806,0.0,0.0,98.47328244274806,0.15267175572519084,,,,0.10911198836907161,0.852220029077321
Sr,s,TETRA_PACK,20.879120879120876,0.0,0.0,20.879120879120876,1.3186813186813187,,,,0.1386679825536074,0.852220029077321
Sr,s,PENTA_FLOWER,64.49275362318839,0.0,0.0,64.49275362318839,1.0144927536231882,,,,0.1682239767381432,0.852220029077321
Sr,s,HEPTA_FLOWER,71.42857142857144,0.0,0.0,71.42857142857144,0.9523809523809522,,,,0.19777997092267902,0.852220029077321
Ta,d,BIN_DIPOLE,0.4669451953797001,0.0,0.0,0.4669451953797001,1.1059228311624476,,,,0.09955580163313105,0.7522209918343448
