carrier_element,block,n_materials,topology_id,C_e,C_xi,C_total,Q_lock,xi_norm
Os,d,1,TRI_RING,1.4549999999999998,0.0,1.4549999999999998,0.03586503043010569,0.0
Os,d,1,TETRA_PACK,0.255,0.0,0.255,0.03586503043010569,0.0
Os,d,1,PENTA_FLOWER,0.645,0.0,0.645,0.03586503043010569,0.0
Os,d,1,HEPTA_FLOWER,0.7150000000000001,0.0,0.7150000000000001,0.03586503043010569,0.0
Pa,f,1,BIN_DIPOLE,0.0458,0.0,0.0458,0.6468547289568376,0.0
Pa,f,1,TRI_RING,1.1550000000000002,0.0,1.1550000000000002,0.6468547289568376,0.0
Pa,f,1,TETRA_PACK,0.15500000000000003,0.0,0.15500000000000003,0.6468547289568376,0.0
Pa,f,1,PENTA_FLOWER,0.42500000000000016,0.0,0.42500000000000016,0.6468547289568376,0.0
Pa,f,1,HEPTA_FLOWER,0.3549999999999999,0.0,0.3549999999999999,0.6468547289568376,0.0
Pb,p,1,BIN_DIPOLE,0.013799999999999996,0.0,0.013799999999999996,0.9616893830460982,0.0
Pb,p,1,TRI_RING,1.4549999999999998,0.0,1.4549999999999998,0.9616893830460982,0.0
Pb,p,1,TETRA_PACK,0.255,0.0,0.255,0.9616893830460982,0.0
Pb,p,1,PENTA_FLOWER,0.645,0.0,0.645,0.9616893830460982,0.0
Pb,p,1,HEPTA_FLOWER,0.7150000000000001,0.0,0.7150000000000001,0.9616893830460982,0.0
Pt,d,4,BIN_DIPOLE,0.14180000000000004,0.003593207444633207,0.14359660372231664,0.7882042927889257,0.08482720192841865
Pt,d,4,TRI_RING,0.6350000000000001,0.007186414889266414,0.6385932074446333,0.7882042927889257,0.08482720192841865
Pt,d,4,TETRA_PACK,0.035,0.008983018611583017,0.03949150930579151,0.7882042927889257,0.08482720192841865
Pt,d,4,PENTA_FLOWER,0.14500000000000002,0.012576226056216224,0.15128811302810813,0.7882042927889257,0.08482720192841865
Pt,d,4,HEPTA_FLOWER,0.275,0.016169433500849432,0.28308471675042474,0.7882042927889257,0.08482720192841865
Re,d,2,BIN_DIPOLE,0.013799999999999996,0.0,0.013799999999999996,0.2214207204185129,0.0
Re,d,2,TRI_RING,1.4549999999999998,0.0,1.4549999999999998,0.2214207204185129,0.0
Re,d,2,TETRA_PACK,0.255,0.0,0.255,0.2214207204185129,0.0
Re,d,2,PENTA_FLOWER,0.645,0.0,0.645,0.2214207204185129,0.0
Re,d,2,HEPTA_FLOWER,0.7150000000000001,0.0,0.7150000000000001,0.2214207204185129,0.0
Rh,d,1,BIN_DIPOLE,0.013799999999999996,0.0,0.013799999999999996,0.9208181764100464,0.0
Rh,d,1,TRI_RING,1.4549999999999998,0.0,1.4549999999999998,0.9208181764100464,0.0
Rh,d,1,TETRA_PACK,0.255,0.0,0.255,0.9208181764100464,0.0
Rh,d,1,PENTA_FLOWER,0.645,0.0,0.645,0.9208181764100464,0.0
Rh,d,1,HEPTA_FLOWER,0.7150000000000001,0.0,0.7150000000000001,0.9208181764100464,0.0
Ru,d,2,BIN_DIPOLE,0.0904666666666667,0.0,0.0904666666666667,0.2599163581172248,0.0
Ru,d,2,TRI_RING,0.7383333333333335,0.0,0.7383333333333335,0.2599163581172248,0.0
Ru,d,2,TETRA_PACK,0.03833333333333333,0.0,0.03833333333333333,0.2599163581172248,0.0
Ru,d,2,PENTA_FLOWER,0.3116666666666667,0.0,0.3116666666666667,0.2599163581172248,0.0
Ru,d,2,HEPTA_FLOWER,0.26499999999999996,0.0,0.26499999999999996,0.2599163581172248,0.0
Sc,d,3,BIN_DIPOLE,0.013799999999999996,0.0,0.013799999999999996,0.39870637109026874,0.0
Sc,d,3,TRI_RING,1.4549999999999998,0.0,1.4549999999999998,0.39870637109026874,0.0
Sc,d,3,TETRA_PACK,0.255,0.0,0.255,0.39870637109026874,0.0
Sc,d,3,PENTA_FLOWER,0.645,0.0,0.645,0.39870637109026874,0.0
Sc,d,3,HEPTA_FLOWER,0.7150000000000001,0.0,0.7150000000000001,0.39870637109026874,0.0
Se,p,1,BIN_DIPOLE,0.4954326530612245,0.0,0.4954326530612245,0.24324389746360175,0.0
Se,p,1,TRI_RING,0.16520408163265307,0.0,0.16520408163265307,0.24324389746360175,0.0
Se,p,1,TETRA_PACK,0.10806122448979591,0.0,0.10806122448979591,0.24324389746360175,0.0
Se,p,1,PENTA_FLOWER,0.44091836734693884,0.0,0.44091836734693884,0.24324389746360175,0.0
Se,p,1,HEPTA_FLOWER,0.5109183673469387,0.0,0.5109183673469387,0.24324389746360175,0.0
Sn,p,1,BIN_DIPOLE,0.013799999999999996,0.0,0.013799999999999996,0.6966500504338051,0.0
Sn,p,1,TRI_RING,1.4549999999999998,0.0,1.4549999999999998,0.6966500504338051,0.0
Sn,p,1,TETRA_PACK,0.255,0.0,0.255,0.6966500504338051,0.0
Sn,p,1,PENTA_FLOWER,0.645,0.0,0.645,0.6966500504338051,0.0
Sn,p,1,HEPTA_FLOWER,0.7150000000000001,0.0,0.7150000000000001,0.6966500504338051,0.0
Sr,s,4,BIN_DIPOLE,0.013799999999999996,0.0,0.013799999999999996,0.6582164580733993,0.0
Sr,s,4,TRI_RING,1.4549999999999998,0.0,1.4549999999999998,0.6582164580733993,0.0
Sr,s,4,TETRA_PACK,0.255,0.0,0.255,0.6582164580733993,0.0
Sr,s,4,PENTA_FLOWER,0.645,0.0,0.645,0.6582164580733993,0.0
Sr,s,4,HEPTA_FLOWER,0.7150000000000001,0.0,0.7150000000000001,0.6582164580733993,0.0
Ta,d,6,BIN_DIPOLE,0.012549999999999988,0.0,0.012549999999999988,0.42178432268175337,0.0
Ta,d,6,TRI_RING,1.2487500000000002,0.0,1.2487500000000002,0.42178432268175337,0.0
Ta,d,6,TETRA_PACK,0.17375000000000007,0.0,0.17375000000000007,0.42178432268175337,0.0
Ta,d,6,PENTA_FLOWER,0.40125000000000016,0.0,0.40125000000000016,0.42178432268175337,0.0
Ta,d,6,HEPTA_FLOWER,0.5087500000000003,0.0,0.5087500000000003,0.42178432268175337,0.0
Tc,d,1,BIN_DIPOLE,0.013799999999999996,0.0,0.013799999999999996,0.9829098681139234,0.0
Tc,d,1,TRI_RING,1.4549999999999998,0.0,1.4549999999999998,0.9829098681139234,0.0
Tc,d,1,TETRA_PACK,0.255,0.0,0.255,0.9829098681139234,0.0
Tc,d,1,PENTA_FLOWER,0.645,0.0,0.645,0.9829098681139234,0.0
Tc,d,1,HEPTA_FLOWER,0.7150000000000001,0.0,0.7150000000000001,0.9829098681139234,0.0
Th,f,4,BIN_DIPOLE,0.4937999999999999,0.0,0.4937999999999999,0.4006377589010469,0.0
Th,f,4,TRI_RING,0.35500000000000004,0.0,0.35500000000000004,0.4006377589010469,0.0
Th,f,4,TETRA_PACK,0.15500000000000003,0.0,0.15500000000000003,0.4006377589010469,0.0
Th,f,4,PENTA_FLOWER,0.07833333333333334,0.0,0.07833333333333334,0.4006377589010469,0.0
Th,f,4,HEPTA_FLOWER,0.24833333333333338,0.0,0.24833333333333338,0.4006377589010469,0.0
Ti,d,2,BIN_DIPOLE,0.013799999999999996,0.0,0.013799999999999996,0.7347274630694665,0.0
Ti,d,2,TRI_RING,1.4549999999999998,0.0,1.4549999999999998,0.7347274630694665,0.0
Ti,d,2,TETRA_PACK,0.255,0.0,0.255,0.7347274630694665,0.0
Ti,d,2,PENTA_FLOWER,0.645,0.0,0.645,0.7347274630694665,0.0
Ti,d,2,HEPTA_FLOWER,0.7150000000000001,0.0,0.7150000000000001,0.7347274630694665,0.0
Tl,p,1,BIN_DIPOLE,0.013799999999999996,0.0,0.013799999999999996,0.25928931413778467,0.0
